2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
336,330,Aalborg University,DK,Denmark,L,FC,VH,3,A,20.0,442,22.0,424,32.0,500,42.0,317,76.0,244,18.0,570,79.0,151,15.0,569,36.0,393,32.0
109,116,Aalto University,FI,Finland,L,FO,VH,2,A,45.0,187,42.0,223,40.0,391,79.0,112,96.0,147,38.0,363,56.0,277,89.0,39,95.0,53,59.0
143,161,Aarhus University,DK,Denmark,L,FC,VH,4,A,56.0,140,25.0,387,33.0,490,54.0,238,90.0,181,13.0,661,95.0,56,45.0,156,98.0,18,52.0
345,369,Airlangga University,ID,Indonesia,L,FC,HI,4,A,34.0,254,73.0,95,52.0,301,1.0,701+,45.0,379,6.0,701+,1.0,701+,14.0,582,31.0,444,32.0
387,490,Aix-Marseille University,FR,France,XL,FC,VH,5,A,36.0,241,5.0,601+,8.0,701+,27.0,468,19.0,609,20.0,549,99.0,13,11.0,701+,65.0,228,28.0
230,150,Al-Farabi Kazakh National University,KZ,Kazakhstan,L,FC,HI,4,A,51.0,155,75.0,85,99.0,38,1.0,701+,29.0,497,34.0,386,12.0,634,12.0,701+,5.0,701+,42.0
192,189,Albert-Ludwigs-Universitaet Freiburg,DE,Germany,L,FC,VH,5,A,46.0,179,20.0,460,29.0,531,63.0,187,69.0,281,36.0,371,83.0,131,25.0,328,68.0,213,47.0
154,167,Alma Mater Studiorum - University of Bologna,IT,Italy,XL,FC,VH,5,A,80.0,73,40.0,237,3.0,701+,50.0,267,8.0,701+,11.0,695,91.0,75,35.0,219,57.0,268,51.0
226,252,American University of Beirut (AUB),LB,Lebanon,M,FC,VH,5,B,28.0,316,42.0,225,57.0,254,24.0,499,68.0,288,47.0,310,36.0,415,89.0,40,93.0,70,42.0
364,369,American University of Sharjah,AE,United Arab Emirates,S,CO,VH,3,B,20.0,438,39.0,243,21.0,653,20.0,559,100.0,2,100.0,6,6.0,701+,37.0,202,3.0,701+,30.0
375,443,Amirkabir University of Technology,IR,"Iran, Islamic Republic of",M,FO,VH,4,A,4.0,601+,33.0,295,5.0,701+,100.0,13,16.0,652,3.0,701+,10.0,681,10.0,701+,17.0,586,30.0
179,219,Arizona State University,US,United States,XL,CO,VH,5,A,47.0,174,37.0,265,7.0,701+,62.0,199,65.0,299,30.0,422,88.0,97,27.0,307,97.0,33,48.0
1401+,1401+,Ataturk University,TR,Turkey,XL,CO,HI,4,A,5.0,601+,2.0,601+,3.0,701+,4.0,701+,3.0,701+,4.0,701+,2.0,701+,9.0,701+,4.0,701+,0.0
407,486,Auckland University of Technology (AUT),NZ,New Zealand,L,CO,VH,2,A,19.0,464,12.0,601+,10.0,701+,19.0,575,100.0,59,99.0,48,12.0,635,19.0,433,72.0,196,27.0
281,235,Bandung Institute of Technology (ITB),ID,Indonesia,L,CO,VH,5,A,41.0,203,66.0,122,66.0,208,3.0,701+,84.0,213,2.0,701+,1.0,701+,36.0,209,21.0,533,37.0
319,230,Bauman Moscow State Technical University,RU,Russia,L,CO,VH,5,A,31.0,279,44.0,202,100.0,18,1.0,701+,54.0,343,59.0,256,1.0,701+,12.0,701+,11.0,663,33.0
473,443,Beihang University (former BUAA),CN,China (Mainland),L,CO,VH,2,A,13.0,601+,6.0,601+,36.0,440,69.0,150,8.0,701+,5.0,701+,7.0,701+,13.0,656,15.0,608,24.0
340,355,Beijing Institute of Technology,CN,China (Mainland),L,FO,VH,4,A,23.0,385,18.0,484,41.0,381,76.0,125,3.0,701+,4.0,701+,17.0,572,14.0,599,24.0,506,32.0
272,262,Beijing Normal University,CN,China (Mainland),L,CO,VH,5,A,38.0,227,7.0,601+,26.0,576,86.0,87,7.0,701+,23.0,496,23.0,520,12.0,701+,31.0,444,37.0
387,288,Belarusian State University,BY,Belarus,L,FO,VH,5,A,27.0,327,43.0,219,95.0,61,1.0,701+,4.0,701+,50.0,294,3.0,701+,25.0,341,1.0,701+,28.0
469,490,Ben-Gurion University of The Negev,IL,Israel,L,FC,VH,4,A,15.0,592,14.0,577,12.0,701+,53.0,245,65.0,294,16.0,607,20.0,544,11.0,701+,18.0,564,25.0
374,343,"Birkbeck, University of London",UK,United Kingdom,M,FO,VH,5,A,11.0,601+,4.0,601+,14.0,701+,65.0,172,98.0,123,98.0,62,9.0,692,12.0,701+,12.0,642,30.0
567,481,Bond University,AU,Australia,S,FO,VH,3,B,5.0,601+,5.0,601+,44.0,356,23.0,518,88.0,195,94.0,96,1.0,701+,12.0,701+,1.0,701+,21.0
93,108,Boston University,US,United States,L,FC,VH,5,B,62.0,113,68.0,109,33.0,485,60.0,204,22.0,576,88.0,132,73.0,187,69.0,76,86.0,113,61.0
73,63,Brown University,US,United States,M,FC,VH,5,B,58.0,131,42.0,221,78.0,145,86.0,89,85.0,212,52.0,279,58.0,258,75.0,59,70.0,201,66.0
343,412,Brunel University London,UK,United Kingdom,L,CO,VH,4,A,11.0,601+,13.0,601+,8.0,701+,44.0,303,100.0,84,100.0,39,57.0,269,19.0,450,63.0,235,32.0
15,6,California Institute of Technology (Caltech),US,United States,S,CO,VH,5,B,96.0,30,94.0,41,100.0,5,100.0,3,100.0,63,81.0,159,23.0,521,34.0,225,41.0,357,88.0
1401+,1401+,California State University Long Beach,US,United States,XL,CO,VH,4,A,4.0,601+,3.0,601+,8.0,701+,0.0,,0.0,,0.0,,0.0,,10.0,701+,0.0,,0.0
154,166,Cardiff University,UK,United Kingdom,L,FC,VH,5,A,47.0,176,48.0,181,34.0,474,40.0,347,84.0,217,71.0,206,82.0,138,19.0,442,98.0,25,51.0
52,52,Carnegie Mellon University,US,United States,L,FC,VH,5,B,71.0,87,75.0,83,49.0,319,100.0,10,47.0,371,98.0,59,57.0,264,60.0,100,47.0,323,74.0
255,176,Case Western Reserve University,US,United States,M,FC,VH,4,B,18.0,486,17.0,507,83.0,118,64.0,185,38.0,420,68.0,216,21.0,537,27.0,301,35.0,403,39.0
452,499,Central South University,CN,China (Mainland),XL,FC,VH,2,A,9.0,601+,3.0,601+,6.0,701+,98.0,28,7.0,701+,4.0,701+,14.0,616,10.0,701+,9.0,689,26.0
129,125,Chalmers University of Technology,SE,Sweden,M,FO,VH,5,B,27.0,326,52.0,158,51.0,306,81.0,107,100.0,49,67.0,220,52.0,299,29.0,278,83.0,132,54.0
248,288,Charles University,CZ,Czech Republic,XL,FC,VH,5,A,46.0,183,44.0,210,35.0,456,9.0,701+,25.0,539,51.0,283,91.0,77,28.0,294,84.0,125,40.0
211,224,Chulalongkorn University,TH,Thailand,XL,FC,VH,5,A,67.0,101,50.0,170,32.0,498,7.0,701+,15.0,668,3.0,701+,49.0,318,87.0,44,86.0,113,44.0
494,392,Chung-Ang University (CAU),KR,South Korea,L,FC,VH,4,B,20.0,445,36.0,271,70.0,186,9.0,701+,14.0,690,36.0,373,2.0,701+,13.0,672,3.0,701+,23.0
70,54,City University of Hong Kong,HK,Hong Kong SAR,M,CO,VH,3,A,60.0,122,27.0,356,87.0,99,100.0,9,100.0,17,100.0,2,17.0,570,30.0,269,82.0,136,68.0
328,355,"City, University of London",UK,United Kingdom,L,CO,VH,5,A,21.0,405,18.0,483,7.0,701+,42.0,321,95.0,151,99.0,46,22.0,527,28.0,284,42.0,356,33.0
409,408,Colorado State University,US,United States,L,CO,VH,5,A,19.0,475,18.0,482,57.0,258,20.0,553,12.0,701+,4.0,701+,55.0,285,15.0,559,98.0,29,27.0
